doc_id,title,category,audience,publisher,origin,source_url,file,filetype,n_chunks,word_count,tokens_est,bytes,sha256,validation,notes
osha_rep,OSHA Radiation Emergency Preparedness and Response,response_ops,responder_employer,OSHA,internet,https://www.osha.gov/emergency-preparedness/radiation/response,corpus_1.jsonl,web,18,2651,4455,17832,200a4417e1bad0d9830a6c94091e72a873da0f8d644f10acf129de6846a0c1f8,PASS,
epa_pag_manual_2017,EPA PAG Manual: Protective Action Guides and Planning Guidance for Radiological Incidents (2017),protective_actions,responder_planner,EPA,internet,https://www.epa.gov/radiation/protective-action-guides-pags,corpus_1.jsonl,web,8,1130,1843,7382,84ebed7d40c0b217c8bcb6e429b88efd9de6dad0bdcbe53817c48ce15dda3ef4,PASS,"pages: pag.htm, protective-action-guides-pags"
hhs_remm,HHS Radiation Emergency Medical Management (REMM),clinical_ops,responder_clinician,HHS REMM,internet,https://remm.hhs.gov/,corpus_1.jsonl,web,6,932,1524,6098,16374afc4db2412f5f912030ff2f5252932f80f4b95913c8e89a81e62cd77a0b,PASS,"pages: ars.htm, dtpa.htm, pag.htm"
doe_au22_dose_ranges,DOE Ionizing Radiation Dose Ranges Chart Information Brief (AU-22 001-2018),dose_reference,responder_planner,DOE,mini_corpus_v0,,corpus_1.jsonl,mini_corpus,4,314,494,1979,5959a848117607328b1e456189d244537907d2ca4db6656f2dbdf0f60550ca5d,PASS,carried from mini-corpus (train/val.jsonl); no source_url
asn_national_guide_2023,ASN National Guide: Medical Response in a Nuclear or Radiological Emergency (June 2023),clinical_ops,responder_clinician,ASN (France),mini_corpus_v0,,corpus_1.jsonl,mini_corpus,3,518,838,3354,cf3eaf05ccbb7973e6c130e05e71bb2fc792fba4ca12e1a4adc92e8d11fbaf78,PASS,carried from mini-corpus (train/val.jsonl); no source_url
ncrp_179,NCRP Report No. 179: Guidance for Emergency Response Dosimetry (via HHS REMM),responder_safety,responder,NCRP,internet,https://remm.hhs.gov/pag.htm,corpus_1.jsonl,web,1,143,239,971,8038fd15f993a99bdce38c4c613d4c523213bcee0abd7641354d5f55c59a0c3b,PASS,
iaea_pda_first_responders,IAEA Portable Digital Assistant for First Responders,responder_safety,responder,IAEA,mini_corpus_v0,,corpus_1.jsonl,mini_corpus,1,70,116,465,e218e1bb291e0cdfd780231867df5fc00197f052cb458bc6da4d4e9fbfa52b7a,PASS,carried from mini-corpus (train/val.jsonl); no source_url
